Raridade,Comuns,foil,Incomuns,foil,Raras,foil,Epicas,foil,Alt,foil,Showcase,foil,Signed
Menor,"R$ 0,20","R$ 1,19","R$ 0,19","R$ 0,46","R$ 3,19","R$ 2,39","R$ 180,41",,"R$ 15,00",,"R$ 221,06",,
Médio,"R$ 0,89","R$ 3,31","R$ 0,97","R$ 2,12","R$ 4,33","R$ 4,22","R$ 224,03",,"R$ 33,87",,"R$ 327,12",,
Maior,"R$ 3,00","R$ 14,94","R$ 4,75","R$ 4,94","R$ 4,90","R$ 9,94","R$ 259,95",,"R$ 40,00",,"R$ 499,90",,
Menor,"R$ 0,46",,"R$ 0,19","R$ 0,78","R$ 2,00","R$ 0,79","R$ 80,00",,"R$ 800,00","R$ 589,95","R$ 450,00","R$ 275,00",
Médio,"R$ 1,13",,"R$ 0,74","R$ 1,67","R$ 2,45","R$ 2,02","R$ 131,44",,"R$ 800,00","R$ 664,22","R$ 548,30","R$ 587,38",
Maior,"R$ 5,00",,"R$ 2,00","R$ 4,94","R$ 2,90","R$ 5,99","R$ 200,00",,"R$ 800,00","R$ 949,90","R$ 699,90","R$ 849,90",
Menor,"R$ 0,55","R$ 1,50","R$ 0,40","R$ 1,00","R$ 1,20","R$ 0,87","R$ 123,97",,"R$ 18,05",,,,
Médio,"R$ 3,83","R$ 11,58","R$ 2,51","R$ 7,07","R$ 4,43","R$ 3,30","R$ 157,41",,"R$ 40,44",,,,
Maior,"R$ 9,94","R$ 14,94","R$ 5,90","R$ 17,99","R$ 5,00","R$ 7,75","R$ 289,95",,"R$ 49,99",,,,
Menor,"R$ 0,15","R$ 0,38","R$ 0,38","R$ 0,79","R$ 49,90",,"R$ 22,00","R$ 17,99","R$ 60,00","R$ 25,17",,,
Médio,"R$ 0,62","R$ 1,49","R$ 1,17","R$ 2,85","R$ 62,60",,"R$ 22,00","R$ 26,53","R$ 67,03","R$ 36,25",,,
Maior,"R$ 2,00","R$ 3,94","R$ 2,94","R$ 9,94","R$ 99,90",,"R$ 22,00","R$ 42,10","R$ 79,90","R$ 74,89",,,
Menor,"R$ 0,20","R$ 0,93","R$ 0,39","R$ 0,49","R$ 54,90","R$ 14,50","R$ 49,00","R$ 35,20","R$ 85,00","R$ 33,99",,,
Médio,"R$ 1,02","R$ 2,84","R$ 1,05","R$ 2,92","R$ 54,90","R$ 23,13","R$ 49,00","R$ 59,93","R$ 94,97","R$ 49,53",,,
Maior,"R$ 3,00","R$ 9,94","R$ 2,99","R$ 9,94","R$ 54,90","R$ 39,90","R$ 49,00","R$ 129,90","R$ 109,90","R$ 81,92",,,
Menor,"R$ 0,17","R$ 0,49","R$ 0,43","R$ 0,95","R$ 7,50","R$ 7,51","R$ 482,84",,"R$ 89,90","R$ 49,00",,,
Médio,"R$ 0,80","R$ 2,03","R$ 1,18","R$ 3,23","R$ 7,50","R$ 10,79","R$ 572,97",,"R$ 89,90","R$ 62,70",,,
Maior,"R$ 2,00","R$ 9,94","R$ 3,00","R$ 9,94","R$ 7,50","R$ 30,00","R$ 649,90",,"R$ 89,90","R$ 88,15",,,
Menor,"R$ 0,19","R$ 0,48","R$ 0,39","R$ 0,49","R$ 5,00",,"R$ 54,90","R$ 25,00","R$ 49,00",,,,
Médio,"R$ 0,72","R$ 1,64","R$ 1,40","R$ 4,14","R$ 8,97",,"R$ 54,90","R$ 42,43","R$ 109,15",,,,
Maior,"R$ 2,50","R$ 14,94","R$ 3,90","R$ 9,40","R$ 19,99",,"R$ 54,90","R$ 64,95","R$ 170,30",,,,
Menor,"R$ 0,24","R$ 1,00","R$ 0,34","R$ 2,98","R$ 49,90",,"R$ 49,80","R$ 10,00","R$ 31,00","R$ 19,19",,,
Médio,"R$ 0,86","R$ 3,56","R$ 1,00","R$ 3,94","R$ 61,81",,"R$ 49,85","R$ 17,43","R$ 33,75","R$ 30,24",,,
Maior,"R$ 2,00","R$ 9,94","R$ 2,50","R$ 6,90","R$ 84,90",,"R$ 49,90","R$ 49,95","R$ 36,50","R$ 44,90",,,
Menor,"R$ 0,18","R$ 0,72","R$ 0,24","R$ 0,86","R$ 47,46",,"R$ 30,00",,"R$ 109,00","R$ 93,93",,,
Médio,"R$ 0,66","R$ 1,57","R$ 0,89","R$ 2,20","R$ 61,28",,"R$ 43,41",,"R$ 109,00","R$ 110,13",,,
Maior,"R$ 2,00","R$ 5,00","R$ 2,50","R$ 3,90","R$ 99,95",,"R$ 49,99",,"R$ 109,00","R$ 130,00",,,
Menor,"R$ 0,18","R$ 0,38","R$ 0,32","R$ 0,49","R$ 5,91","R$ 4,50","R$ 40,00","R$ 39,90","R$ 120,00","R$ 57,76",,,
Médio,"R$ 0,73","R$ 1,54","R$ 0,90","R$ 1,83","R$ 5,91","R$ 10,69","R$ 67,50","R$ 62,70","R$ 120,00","R$ 82,93",,,
Maior,"R$ 2,00","R$ 4,94","R$ 3,00","R$ 4,94","R$ 5,91","R$ 20,00","R$ 95,00","R$ 85,41","R$ 120,00","R$ 138,35",,,
